NODE_4389_length_8524_cov_7.628055-2	COG0596	pimeloyl-ACP methyl ester carboxylesterase	COG0596	NA	Eukaryota;Chlorophyta;Trebouxiophyceae;unclassified Trebouxiophyceae;Coccomyxaceae;Coccomyxa;Coccomyxa subellipsoidea;Coccomyxa subellipsoidea C-169
NODE_4909_length_8079_cov_7.819292-3	KO:K14793	ribosomal RNA-processing protein 9	NA	NA	Eukaryota;Streptophyta;Bryopsida;Funariales;Funariaceae;Physcomitrella;Physcomitrella patens;Physcomitrella patens patens
NODE_5447_length_7679_cov_8.875918-8	COG1131	ABC-type multidrug transport system ATPase subunit	COG1131	NA	Eukaryota;Streptophyta;unclassified Streptophyta
NODE_5711_length_7500_cov_6.226595-2	KO:K02888	large subunit ribosomal protein L21	ko03010	Genetic Information Processing;Translation;Ribosome	Eukaryota
NODE_5938_length_7364_cov_8.299631-5	pfam13920	C3HC4-type zinc finger (RING finger) protein	pfam13920	NA	Eukaryota
NODE_6121_length_7258_cov_7.504651-1	KO:K01409	N6-L-threonylcarbamoyladenine synthase	NA	NA	Eukaryota;Streptophyta
NODE_6527_length_7038_cov_7.117285-5	KO:K00111	glycerol-3-phosphate dehydrogenase	ko01110|ko00564	Metabolism;Global and overview maps;Biosynthesis|Metabolism;Lipid metabolism;Glycerophospholipid	Eukaryota;Chlorophyta
NODE_6992_length_6802_cov_8.151327-3	pfam04031	Las1-like protein	pfam04031	NA	Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales
NODE_7118_length_6742_cov_8.680873-6	KO:K00254	dihydroorotate dehydrogenase	ko01100|ko00240	Metabolism;Global and overview maps;Metabolic|Metabolism;Nucleotide metabolism;Pyrimidine	Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;Ostreococcus;Ostreococcus sp. 'lucimarinus';Ostreococcus lucimarinus CCE9901
NODE_7464_length_6574_cov_7.312931-7	KO:K02149	V-type H+-transporting ATPase subunit D	ko01100|ko00190|ko04145|ko04150	Metabolism;Global and overview maps;Metabolic|Metabolism;Energy metabolism;Oxidative|Cellular Processes;Transport and catabolism;Phagosome|Environmental Information Processing;Signal transduction;mTOR	Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales
NODE_7804_length_6413_cov_6.925920-5	COG3897	predicted nicotinamide N-methyase	COG3897	NA	Eukaryota
NODE_7948_length_6362_cov_7.285714-4	KO:K05236	coatomer protein complex subunit alpha (xenin)	NA	NA	Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas commoda;Micromonas pusilla NOUM17, RCC 299
NODE_8144_length_6286_cov_6.999198-1	KO:K08232	monodehydroascorbate reductase (NADH)	ko01100|ko00053	Metabolism;Global and overview maps;Metabolic|Metabolism;Carbohydrate metabolism;Ascorbate	Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales
NODE_9403_length_5852_cov_7.572883-6	KO:K15687	E3 ubiquitin-protein ligase makorin	NA	NA	Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales
NODE_10488_length_5516_cov_7.161692-2	KO:K14832	ribosome biogenesis protein MAK21	NA	NA	Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas pusilla;Micromonas pusilla CCMP 1545
NODE_11215_length_5332_cov_7.097783-3	COG1958	small nuclear ribonucleoprotein (snRNP)-like protein	COG1958	NA	Eukaryota
NODE_11374_length_5290_cov_6.738300-6	Hypo-rule applied	hypothetical protein	Hypo-rule applied	NA	Eukaryota
NODE_11748_length_5202_cov_7.284632-3	pfam08325	WLM domain-containing protein	pfam08325	NA	Eukaryota;Chlorophyta
NODE_12640_length_5002_cov_8.799677-3	KO:K14806	ATP-dependent RNA helicase DDX31/DBP7	NA	NA	Eukaryota
